1,0.778801,0.367879,0.105399,0.0183156,0.00193045,0.00012341,4.78512e-06,1.12535e-07,1.60523e-09,1.38879e-11,7.28772e-14,
0.778801,1,0.778801,0.367879,0.105399,0.0183156,0.00193045,0.00012341,4.78512e-06,1.12535e-07,1.60523e-09,1.38879e-11,
0.367879,0.778801,1,0.778801,0.367879,0.105399,0.0183156,0.00193045,0.00012341,4.78512e-06,1.12535e-07,1.60523e-09,
0.105399,0.367879,0.778801,1,0.778801,0.367879,0.105399,0.0183156,0.00193045,0.00012341,4.78512e-06,1.12535e-07,
0.0183156,0.105399,0.367879,0.778801,1,0.778801,0.367879,0.105399,0.0183156,0.00193045,0.00012341,4.78512e-06,
0.00193045,0.0183156,0.105399,0.367879,0.778801,1,0.778801,0.367879,0.105399,0.0183156,0.00193045,0.00012341,
0.00012341,0.00193045,0.0183156,0.105399,0.367879,0.778801,1,0.778801,0.367879,0.105399,0.0183156,0.00193045,
4.78512e-06,0.00012341,0.00193045,0.0183156,0.105399,0.367879,0.778801,1,0.778801,0.367879,0.105399,0.0183156,
1.12535e-07,4.78512e-06,0.00012341,0.00193045,0.0183156,0.105399,0.367879,0.778801,1,0.778801,0.367879,0.105399,
1.60523e-09,1.12535e-07,4.78512e-06,0.00012341,0.00193045,0.0183156,0.105399,0.367879,0.778801,1,0.778801,0.367879,
1.38879e-11,1.60523e-09,1.12535e-07,4.78512e-06,0.00012341,0.00193045,0.0183156,0.105399,0.367879,0.778801,1,0.778801,
7.28772e-14,1.38879e-11,1.60523e-09,1.12535e-07,4.78512e-06,0.00012341,0.00193045,0.0183156,0.105399,0.367879,0.778801,1,
