0.0060819,0,0,0,0,1
0.042537,0,0,0,0,1
0.11543,0,0,0,0,1
0.22476,0,0,0,0,1
0.37052,0,0,0,0,1
0.55102,0.00017679,0,0,0,1
0.71323,0.0058621,0,0,0,1
0.79595,0.023203,0,0,0,1
0.8,0.051904,1.0559e-05,0,0,1
0.77322,0.084656,0.00015406,0,0,1
0.74641,0.11675,0.00050927,0,0,1
0.72007,0.14811,0.0010775,0,0,1
0.6942,0.17873,0.0018588,0,0,1
0.6688,0.20862,0.002853,0,0,1
0.64388,0.23777,0.0040603,0,0,1
0.61943,0.26618,0.0054807,0,0,1
0.59546,0.29385,0.007114,0,0,1
0.57196,0.32079,0.0089604,0,0,1
0.54893,0.34699,0.01102,0,0,1
0.52637,0.37246,0.013292,0,0,1
0.50429,0.39719,0.015778,0,0,1
0.48268,0.42118,0.018476,0,0,1
0.46154,0.44444,0.021388,0,0,1
0.44088,0.46696,0.024512,0,0,1
0.42069,0.48874,0.02785,0,0,1
0.40097,0.50979,0.0314,0,0,1
0.38173,0.53009,0.035164,0,0,1
0.36296,0.54967,0.03914,0,0,1
0.34466,0.5685,0.04333,0,0,1
0.32684,0.5866,0.047733,0,0,1
0.30949,0.60397,0.052348,0,0,1
0.29261,0.62059,0.057177,0,0,1
0.27621,0.63648,0.062219,0,0,1
0.26028,0.65163,0.067473,0,0,1
0.24482,0.66605,0.072941,0,0,1
0.22983,0.67973,0.078622,0,0,1
0.21532,0.69267,0.084516,0,0,1
0.20129,0.70488,0.090622,0,0,1
0.18772,0.71635,0.096942,0,0,1
0.17463,0.72708,0.10348,0,0,1
0.16201,0.73708,0.11022,0,0,1
0.14987,0.74634,0.11718,0,0,1
0.13819,0.75486,0.12435,0,0,1
0.12699,0.76265,0.13174,0,0,1
0.11627,0.7697,0.13933,0,0,1
0.10602,0.77601,0.14715,0,0,1
0.096237,0.78159,0.15517,0,0,1
0.086931,0.78643,0.16341,0,0,1
0.078098,0.79053,0.17186,0,0,1
0.069739,0.7939,0.18052,0,0,1
0.061852,0.79653,0.1894,0,0,1
